date,change_categorical,daily_change_pred,daily_change,tweets_count,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
2018-04-02,Increase,5.960872609005685,-5.129078397236642,8,0.07,0.789,0.141,0.9318
2018-04-04,Increase,6.544923131736934,7.255260964830513,1,0.0,0.906,0.094,0.4404
2018-04-05,Decrease,-2.0999613626524694,6.544923131736934,1,0.0,0.84,0.16,0.2263
2018-04-13,Decrease,-3.0398884422701555,2.1286705336827305,3,0.228,0.661,0.111,-0.7762
2018-04-18,Increase,2.2941890461813053,1.9673954689181092,1,0.0,1.0,0.0,0.0
2018-05-01,Increase,0.41010665812963865,2.0483198458234098,1,0.0,0.0,1.0,0.296
2018-05-02,Decrease,-5.5454095599747015,0.41010665812963865,1,0.0,1.0,0.0,0.0
2018-05-04,Increase,2.9514775028332214,3.3889988126092563,4,0.034,0.877,0.089,0.6044
2018-05-09,Decrease,-0.5963782317469968,1.616051111914696,1,0.0,1.0,0.0,0.0
2018-05-10,Decrease,-1.2982751883414467,-0.5963782317469968,3,0.0,0.647,0.353,0.9459
2018-05-11,Decrease,-3.019332922163065,-1.2982751883414467,5,0.06,0.832,0.108,0.8225
2018-05-14,Decrease,-2.6680865243930207,-3.019332922163065,3,0.259,0.646,0.095,-0.9607
2018-05-21,Decrease,-3.3322787235185114,2.7707543542699438,8,0.105,0.782,0.113,-0.0469
2018-05-22,Increase,1.4763104812141936,-3.3322787235185114,13,0.099,0.656,0.245,0.9978
2018-05-23,Decrease,-0.4371653793014407,1.4763104812141936,6,0.123,0.712,0.164,0.9116
2018-05-24,Increase,0.3599077992402444,-0.4371653793014407,10,0.071,0.742,0.187,0.9816
2018-05-25,Increase,1.760800494070658,0.3599077992402444,5,0.064,0.808,0.128,0.8271
2018-05-29,Increase,2.805192591399619,1.760800494070658,4,0.069,0.776,0.156,0.8298
2018-05-30,Decrease,-2.396137704133438,2.805192591399619,3,0.055,0.669,0.276,0.9866
2018-06-01,Increase,1.6859728367194071,2.490077071006991,3,0.0,0.894,0.106,0.7703
2018-06-06,Decrease,-1.0672973473467406,9.744786893941182,1,0.0,1.0,0.0,0.0
2018-06-07,Increase,0.4966987221204366,-1.0672973473467406,1,0.075,0.848,0.078,0.024
2018-06-08,Increase,4.5457353862759176,0.4966987221204366,3,0.0,0.805,0.195,0.8625
2018-06-12,Increase,0.5863996590065534,3.2128918162852798,1,0.207,0.793,0.0,-0.5719
2018-06-13,Increase,3.7531141429583137,0.5863996590065534,1,0.0,1.0,0.0,0.0
2018-06-15,Increase,3.5346310212188263,0.1258022600044928,2,0.036,0.811,0.152,0.7906
2018-06-18,Decrease,-4.929480101297323,3.5346310212188263,1,0.059,0.941,0.0,-0.296
2018-06-19,Increase,2.7428705847626134,-4.929480101297323,6,0.048,0.71,0.242,0.9832
2018-06-20,Decrease,-4.061069699158959,2.7428705847626134,2,0.195,0.646,0.16,-0.7539
2018-06-22,Decrease,-0.18583543622104906,-3.994131133554912,3,0.0,0.694,0.306,0.9786
2018-06-25,Increase,2.6996249680829365,-0.18583543622104906,4,0.048,0.82,0.133,0.8553
2018-06-26,Increase,0.7309941357396488,2.6996249680829365,6,0.096,0.748,0.155,0.9043
2018-06-27,Increase,1.5761952265680892,0.7309941357396488,2,0.038,0.804,0.159,0.7245
2018-07-02,Decrease,-7.2253544906513385,-2.2977059091271124,2,0.329,0.268,0.403,0.2732
2018-07-05,Decrease,-0.0841020062573028,-0.5468702112655821,12,0.053,0.858,0.089,0.9387
2018-07-06,Increase,3.1110406652417266,-0.0841020062573028,1,0.0,1.0,0.0,0.0
2018-07-10,Decrease,-1.0884786850385408,1.2432947721664256,2,0.0,0.885,0.115,0.296
2018-07-11,Decrease,-0.7054188052281085,-1.0884786850385408,1,0.069,0.802,0.129,0.0891
2018-07-12,Increase,0.6820106927395653,-0.7054188052281085,1,0.05,0.692,0.257,0.8166
2018-07-13,Decrease,-2.7503337576073044,0.6820106927395653,2,0.044,0.747,0.208,0.7964
2018-07-23,Decrease,-1.9030332127778269,-3.3101604482993148,2,0.0,0.683,0.317,0.9457
2018-07-25,Decrease,-0.6769438040762465,3.802577136261887,1,0.0,0.0,1.0,0.4019
2018-07-26,Decrease,-3.088212865699025,-0.6769438040762465,1,0.222,0.542,0.236,0.2023
2018-07-27,Decrease,-2.3588404465472945,-3.088212865699025,1,0.0,0.256,0.744,0.4404
2018-07-30,Increase,2.7466622056474987,-2.3588404465472945,1,0.0,0.732,0.268,0.8462
2018-07-31,Increase,0.9056163722604094,2.7466622056474987,5,0.041,0.851,0.107,0.8718
2018-08-01,Increase,16.188003560587052,0.9056163722604094,5,0.0,0.669,0.331,0.9915
2018-08-07,Decrease,-2.43169986532934,10.988623281286467,4,0.0,0.695,0.305,0.964
2018-08-08,Decrease,-4.830700020734957,-2.43169986532934,1,0.0,1.0,0.0,0.0
2018-08-14,Decrease,-2.574503680057028,-2.4606462498316883,1,0.0,0.885,0.115,0.4404
2018-08-16,Decrease,-8.92830256481404,-0.9566308932027812,1,0.0,0.714,0.286,0.802
2018-08-22,Decrease,-0.4788059205844686,-0.08076161222220213,2,0.082,0.567,0.351,0.9166
2018-08-23,Increase,0.849744417653242,-0.4788059205844686,1,0.0,0.654,0.346,0.6486
2018-08-24,Decrease,-1.0996884738883717,0.849744417653242,3,0.142,0.688,0.17,0.5242
2018-08-28,Decrease,-2.1965027742974157,-2.320917157074976,1,0.0,0.0,1.0,0.6486
